"u","c","prob_ruina","utilidad_prom"
19,2.5,0,156.405017967581
20,2.5,0.004,155.688279782869
21,2.5,0,153.605967454546
22,2.5,0,158.459439008864
23,2.5,0,154.324353431054
24,2.5,0,157.37539698233
25,2.5,0,156.675441291725
26,2.5,0,155.813496150391
27,2.5,0,157.574601756792
28,2.5,0,157.480631491478
29,2.5,0,158.30181484929
30,2.5,0,156.543063538922
31,2.5,0,157.066833297962
32,2.5,0,155.107273010917
33,2.5,0,154.811584359044
34,2.5,0,154.434063382587
35,2.5,0,156.7169350653
36,2.5,0,155.941956864918
12,2.75,0,185.758184831887
13,2.75,0,185.160145292768
14,2.75,0.004,185.673541310032
15,2.75,0,187.269867099447
16,2.75,0,183.165792723593
17,2.75,0,185.926878844294
18,2.75,0,185.044152950832
19,2.75,0,187.429501437079
20,2.75,0,187.268352611232
21,2.75,0,184.550043042377
22,2.75,0,183.492686577683
23,2.75,0,186.41750579064
24,2.75,0,186.635506001382
25,2.75,0,187.071751889298
26,2.75,0,185.491202319497
27,2.75,0,186.675127792382
28,2.75,0,184.489514124165
29,2.75,0,186.13451348422
30,2.75,0,185.127343224386
31,2.75,0,185.770155294157
32,2.75,0,184.622685736025
33,2.75,0,187.623421716659
34,2.75,0,186.012089465429
35,2.75,0,185.804723956582
36,2.75,0,185.003821266817
12,3,0.004,214.610917392637
13,3,0,216.314583505103
14,3,0,213.307073553901
15,3,0,216.728471261405
16,3,0,217.83334026023
17,3,0,215.363845938022
18,3,0,216.267676333699
19,3,0,213.766954209844
20,3,0,216.383780307235
21,3,0,214.966208371364
22,3,0,216.905726103913
23,3,0,217.327197604032
24,3,0,214.928897465954
25,3,0,214.332789174178
26,3,0,217.089306458003
27,3,0,215.47269874022
28,3,0,219.32752333347
29,3,0,216.293505975813
30,3,0,218.345190966843
31,3,0,215.504492755057
32,3,0,215.354323051354
33,3,0,215.328095019693
34,3,0,214.909788166281
35,3,0,215.775229053188
36,3,0,216.278638188385
