"u","c","prob_ruina","utilidad_prom"
34,2.25,0,125.792302824802
35,2.25,0,126.694267988621
36,2.25,0.004,125.232358326812
12,2.5,0.012,154.128956201907
13,2.5,0.02,152.885613438673
14,2.5,0.008,154.149193765388
15,2.5,0,156.585415834618
16,2.5,0.012,153.145834239816
17,2.5,0.004,157.086762533238
18,2.5,0.004,154.854897177221
19,2.5,0,157.640025381207
20,2.5,0.004,157.004199736109
21,2.5,0.004,156.465525057029
22,2.5,0.008,154.060881677117
23,2.5,0.004,156.576346261761
24,2.5,0,156.866089007989
25,2.5,0,155.374678746644
26,2.5,0.004,155.926667721211
27,2.5,0.008,153.958104857643
28,2.5,0,153.360903421656
29,2.5,0,155.704614298745
30,2.5,0,156.36815677175
31,2.5,0.004,154.586271647204
32,2.5,0,160.134317337558
33,2.5,0,157.887281911206
34,2.5,0.008,153.90545263524
35,2.5,0,155.612617099769
36,2.5,0,158.695002381514
12,2.75,0.012,183.981597356606
13,2.75,0.004,185.500794381868
14,2.75,0.012,183.617342844775
15,2.75,0.008,185.873594418001
16,2.75,0.004,184.471808594969
17,2.75,0.016,182.583293182932
18,2.75,0.008,184.582198250869
19,2.75,0.004,184.917581199851
20,2.75,0.012,182.006010043658
21,2.75,0.004,185.986062893824
22,2.75,0,185.474352326667
23,2.75,0.004,183.250310841973
24,2.75,0.004,184.182352409727
25,2.75,0,185.756904032366
26,2.75,0.004,185.781179482623
27,2.75,0.004,184.756415896117
28,2.75,0.004,185.562812690041
29,2.75,0,184.990253783172
30,2.75,0.004,185.839040783772
31,2.75,0,185.896494825851
32,2.75,0,188.152087440297
33,2.75,0,187.682610946717
34,2.75,0,184.849169788191
35,2.75,0,186.798157392324
36,2.75,0.004,185.667618406446
12,3,0.012,212.697842193251
13,3,0.004,214.86401196825
14,3,0.004,214.25180060919
15,3,0,217.081686782571
16,3,0.004,212.851848174389
17,3,0.016,209.691364298248
18,3,0,217.723344850535
19,3,0.004,213.832856686156
20,3,0,213.741845634822
21,3,0,216.094848879017
22,3,0.016,210.802695316341
23,3,0.004,215.044438280613
24,3,0.008,213.804069186278
25,3,0.004,213.909608993498
26,3,0.008,214.140246525658
27,3,0,213.709759708962
28,3,0,216.863364886489
29,3,0,215.723139497492
30,3,0,216.508797974705
31,3,0,214.885035927135
32,3,0.004,215.534334921301
33,3,0.004,214.400009997773
34,3,0.004,216.20169845502
35,3,0,215.888162846785
36,3,0.004,214.466795915823
